Name,Age,Nominating party,Political party,Votes 2014,Percentual gain 2014,Ballot rank,Final rank,Mandate
Andresová Ivana Mgr.,49,ODS,BEZPP,1702.0,2.71,9,7,-
Andrys Jakub,27,Svobodní,BEZPP,596.0,2.37,34,-,-
Balcárek Radek,48,Nestran.,VČ,1656.0,2.72,7,9,-
Baldrych Martin,40,ODS,ODS,1575.0,2.51,21,18,-
Baloun Radek Mgr.,42,NK,BEZPP,902.0,2.81,10,-,-
Baraňáková Markéta PaedDr.,52,ODS,ODS,1531.0,2.44,30,27,-
Barták Pavel doc. Ing. Ph.D.,51,ODS,ODS,1562.0,2.49,29,26,-
Bártík Martin Mgr.,25,ČSSD,ČSSD,3283.0,2.82,8,4,-
Bartíková Jiřina,72,HRAD.PATRIOTI,BEZPP,444.0,2.37,29,-,-
Bartoš Miroslav Ing.,65,ČSSD,ČSSD,3088.0,2.65,22,17,-
Bednář Jan Ing.,32,HRAD.PATRIOTI,BEZPP,512.0,2.74,9,-,-
Bednář Miroslav Ing.,61,HRAD.PATRIOTI,BEZPP,530.0,2.83,7,-,-
Bejček Karel Mgr. Bc.,70,NK,BEZPP,1525.0,2.72,25,23,-
Bejčková Marcela,47,ČSSD,ČSSD,2904.0,2.49,32,27,-
Bek Tomáš,34,NK,BEZPP,339.0,2.82,7,-,-
Beková Radka Ing.,30,NK,BEZPP,274.0,2.28,31,-,-
Bělohoubek Jaroslav,62,NK,BEZPP,198.0,2.5,23,-,-
Berák Miroslav,53,BPI,BPI,168.0,2.12,24,-,-
Beránek Michael,19,HRAD.PATRIOTI,BEZPP,460.0,2.46,31,-,-
Beránek Michal,32,DOMA,DOMA,463.0,3.85,2,-,-
Berger Vladimír,25,KSČM,BEZPP,2684.0,2.71,10,6,-
Bergerová Věra,63,KSČM,KSČM,2631.0,2.66,21,17,-
Bíla Oldřich Mgr.,65,DOMA,DOMA,385.0,3.2,5,-,-
Binarová Barbora Mgr.,32,NK,BEZPP,297.0,2.47,30,-,-
Bláhová Eva Mgr.,42,Zelení,BEZPP,1438.0,2.56,19,17,-
Bláhová Věra Mgr.,48,Nestran.,BEZPP,1379.0,2.26,32,30,-
Boháčová Kateřina,31,Svobodní,BEZPP,594.0,2.37,32,-,-
Boučková Zdeňka,40,NK,BEZPP,213.0,2.69,12,-,-
