Party,Votes 2002,Percentual gain 2002,Votes 2006,Percentual gain 2006,Votes 2010,Percentual gain 2010,Votes 2014,Percentual gain 2014,Votes 2018,Percentual gain 2018
Křesť.demokr.unie-Čs.str.lid.,64445.0,6.45,51383.0,4.55,0,0,0,0,0,0
Česká strana národně sociální,21405.0,2.14,0,0,0,0,0,0,0,0
Strana zelených,16224.0,1.62,44750.0,3.96,0,0,0,0,0,0
Česká str.sociálně demokrat.,146947.0,14.70,172812.0,15.31,231800.0,19.35,116406.0,11.8,36870.0,3.33
Strana za životní jistoty,1439.0,0.14,0,0,0,0,0,0,0,0
Komunistická str.Čech a Moravy,148750.0,14.88,145899.0,12.93,139530.0,11.65,98810.0,10.02,68038.0,6.15
Občanská demokratická strana,307457.0,30.75,484805.0,42.95,189361.0,15.81,62612.0,6.35,113645.0,10.26
Unie svobody - Demokratická unie,34965.0,3.50,0,0,0,0,0,0,0,0
Volba pro město,182713.0,18.28,93375.0,8.27,108320.0,9.04,23667.0,2.4,0,0
Strana občanského porozumění,1498.0,0.15,0,0,0,0,0,0,0,0
"Sdružení SOS, NK",73140.0,7.32,0,0,0,0,0,0,0,0
"Sdružení RMS, NK",756.0,0.08,0,0,0,0,0,0,0,0
Hradecký demokratický klub,0,0,87185.0,7.72,0,0,252133.0,25.56,173429.0,15.66
SNK Evropští demokraté,0,0,20152.0,1.79,0,0,0,0,0,0
HRADECKÁ DOHODA,0,0,14810.0,1.31,0,0,0,0,0,0
HRADEČÁCI,0,0,12531.0,1.11,0,0,0,0,0,0
Koruna Česká (monarch.strana),0,0,977.0,0.09,0,0,0,0,0,0
Věci veřejné,0,0,0,0,41481.0,3.46,0,0,0,0
"Sdružení ALTERNATIVA, NK",0,0,0,0,149849.0,12.51,0,0,0,0
Evropská demokratická strana,0,0,0,0,2726.0,0.23,0,0,0,0
"Koalice SNK ED, KDU-ČSL",0,0,0,0,75337.0,6.29,0,0,0,0
Strana svobodných občanů,0,0,0,0,11360.0,0.95,0,0,0,0
Změna pro Hradec,0,0,0,0,91778.0,7.66,0,0,0,0
Suverenita-blok J.Bobošíkové,0,0,0,0,26416.0,2.21,0,0,0,0
TOP 09,0,0,0,0,129940.0,10.85,65993.0,6.69,0,0
Ot. rad. pro HK s Úsv. př. dem,0,0,0,0,0,0,14465.0,1.47,0,0
Hradec náš DOMOV,0,0,0,0,0,0,7914.0,0.8,0,0
STRANA SVOBOD. OBČ. (SVOBODNÍ),0,0,0,0,0,0,25045.0,2.54,0,0
ANO 2011,0,0,0,0,0,0,139854.0,14.18,263812.0,23.83
"Změna pro Hradec a SZ,s Piráty",0,0,0,0,0,0,55975.0,5.67,0,0
DOMA v Hradci,0,0,0,0,0,0,12003.0,1.22,0,0
Koalice pro Hradec,0,0,0,0,0,0,60854.0,6.17,75049.0,6.78
HRADEČTÍ PATRIOTI,0,0,0,0,0,0,18672.0,1.89,0,0
"STANhk-Naše město,naše věc",0,0,0,0,0,0,31992.0,3.24,0,0
"TOP 09 s podporou LES, KČ a NK",0,0,0,0,0,0,0,0,45404.0,4.1
Česká pirátská strana,0,0,0,0,0,0,0,0,112995.0,10.21
Slušná polit.a Hrad. patrioti,0,0,0,0,0,0,0,0,52904.0,4.78
Svob.a př.dem.-T.Okamura (SPD),0,0,0,0,0,0,0,0,46513.0,4.2
Změna pro Hradec a Zelení,0,0,0,0,0,0,0,0,75757.0,6.84
Strana soukromníků ČR,0,0,0,0,0,0,0,0,4649.0,0.42
STAN A SVOB S PODP VÝCHODOČECH,0,0,0,0,0,0,0,0,38121.0,3.44
